sheet_row,sku,product_type,product_subtype,product_name,body_material_primary,finish_name,colour_family,mount_type,parts_list,cable_type,cable_material,img_url
59,PHSP1AGRGB,Lighting Accessory,Pendant Lamp Holder,E27 Green BrassPendant Lamp Holder with 1m Round Braided Cable,Metal,Brass,Green Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1992.jpg
60,PHSP1BRRCO,Lighting Accessory,Pendant Lamp Holder,E27 Copper Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1991.jpg
61,PHSQ1PBRYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2372.jpg
62,PHSQ1PBRBM,Lighting Accessory,Pendant Lamp Holder,E27 Black Metal Lampholder,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2671.jpg
63,PHSQ1BRRCO,Lighting Accessory,Pendant Lamp Holder,E27 Copper Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/727.jpg
64,PHSQ1.5PBRYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/725.jpg
65,PHCH1PBRSBM,Lighting Accessory,Pendant Lamp Holder,E27 Black Metal Lampholder,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2478.jpg
66,PHCH1PWRSYE,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Plastic Pendant Lamp Holder with 1m Rubber Cable,Metal,Glossy painted,Yellow,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2477.jpg
67,PHCH1PWRSWH,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Plastic Pendant Lamp Holder with 1m Rubber Cable,Metal,Painetd White,White,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2476.jpg
68,PHCH1PWRSRE,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Plastic Pendant Lamp Holder with 1m Rubber Cable,Metal,Gloss Plastic Finish,Red,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2475.jpg
